ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002989000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002955000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002872000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002854000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002778000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002763000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002756000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002609000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002596000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002590000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002562000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002414000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002329000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002318000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002174000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002160000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002157000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002153000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002103000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002096000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002001000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001974000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001956000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001954000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001954000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001950000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001921000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001882000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001804000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001785000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001772000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001771000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001696000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001695000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001693000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001657000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001651000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001643000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001590000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001583000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001573000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001552000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001531000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001516000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001480000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001469000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001448000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001429000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001426000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001425000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001411000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001393000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001360000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001340000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001333000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001328000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001269000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001256000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001253000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001240000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001238000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001235000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001233000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001222000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001218000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001202000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001184000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001171000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001168000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001143000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001127000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001120000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001110000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001083000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001079000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001047000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001043000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001035000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001016000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001016000
